id,name,player_score,comp_score,computerHasAce,decision
93,dataset,19,20,0,1
94,dataset,17,15,0,0
95,dataset,20,12,0,1
96,dataset,17,19,0,0
97,dataset,21,19,0,1
98,dataset,18,14,0,1
99,dataset,18,18,0,0
100,dataset,19,10,0,1
101,dataset,19,17,0,1
102,dataset,21,10,0,1
103,dataset,21,12,0,1
104,dataset,19,10,0,1
105,dataset,17,15,0,1
106,dataset,16,9,0,1
107,dataset,17,20,1,0
108,dataset,20,12,0,1
109,dataset,17,19,0,0
110,dataset,21,19,0,1
111,dataset,18,14,0,1
112,dataset,18,18,0,0
113,dataset,19,10,0,1
114,dataset,19,17,0,1
115,dataset,21,10,0,1
116,dataset,21,12,0,1
117,dataset,19,10,0,1
118,dataset,17,15,0,1
119,dataset,16,9,0,1
120,dataset,17,20,1,0
121,dataset,17,13,0,1
122,dataset,20,12,0,0
123,dataset,14,19,0,1
124,dataset,17,19,0,1
125,dataset,18,14,0,0
126,dataset,18,18,0,0
127,dataset,13,10,1,1
128,dataset,19,17,1,0
129,dataset,10,10,0,1
130,dataset,14,12,0,1
131,dataset,12,10,0,1
132,dataset,19,20,0,1
133,dataset,17,15,0,0
134,dataset,10,9,0,1
135,dataset,16,20,0,1
136,dataset,17,20,1,1
137,dataset,14,13,1,1
138,dataset,13,16,0,1
139,dataset,20,12,0,1
140,dataset,17,19,0,0
141,dataset,21,19,0,1
142,dataset,18,14,0,1
143,dataset,18,18,0,0
144,dataset,19,10,0,1
145,dataset,19,17,0,1
146,dataset,21,10,0,1
147,dataset,21,12,0,1
148,dataset,19,10,0,1
149,dataset,17,15,0,1
150,dataset,16,9,0,1
151,dataset,17,20,1,0
152,dataset,17,13,0,1
153,dataset,20,16,0,1
154,dataset,20,12,0,1
155,dataset,17,19,0,0
156,dataset,21,19,0,1
157,dataset,18,14,0,1
158,dataset,18,18,0,0
159,dataset,19,10,0,1
160,dataset,19,17,0,1
161,dataset,21,10,0,1
162,dataset,21,12,0,1
163,dataset,19,10,0,1
164,dataset,17,15,0,1
165,dataset,16,9,0,1
166,dataset,17,20,1,0
167,dataset,17,13,0,1
168,dataset,20,16,0,1
169,dataset,18,13,1,1
170,dataset,18,18,1,0
171,dataset,12,12,0,1
172,dataset,20,17,0,1
173,dataset,20,20,0,0
174,dataset,14,19,0,0
175,dataset,16,19,0,0
176,dataset,20,12,0,1
177,dataset,17,19,0,0
178,dataset,21,19,0,1
179,dataset,18,14,0,1
180,dataset,18,18,0,0
181,dataset,19,10,0,1
182,dataset,19,17,0,1
183,dataset,21,10,0,1
184,dataset,21,12,0,1
185,dataset,19,10,0,1
186,dataset,17,15,0,1
187,dataset,16,9,0,1
188,dataset,17,20,1,0
189,dataset,17,13,0,1
190,dataset,20,16,0,1
191,dataset,18,13,1,1
192,dataset,18,18,1,0
193,dataset,12,12,0,1
194,dataset,20,17,0,1
195,dataset,20,20,0,0
196,dataset,14,19,0,0
197,dataset,16,19,0,0
198,dataset,20,8,0,1
199,dataset,20,17,0,1
200,dataset,20,12,0,1
201,dataset,17,19,0,0
202,dataset,21,19,0,1
203,dataset,18,14,0,1
204,dataset,18,18,0,0
205,dataset,19,10,0,1
206,dataset,19,17,0,1
207,dataset,21,10,0,1
208,dataset,21,12,0,1
209,dataset,19,10,0,1
210,dataset,17,15,0,1
211,dataset,16,9,0,1
212,dataset,17,20,1,0
213,dataset,17,13,0,1
214,dataset,20,16,0,1
215,dataset,18,13,1,1
216,dataset,18,18,1,0
217,dataset,12,12,0,1
218,dataset,20,17,0,1
219,dataset,20,20,0,0
220,dataset,14,19,0,0
221,dataset,16,19,0,0
222,dataset,20,8,0,1
223,dataset,20,17,0,1
224,dataset,18,18,0,0
225,dataset,18,18,0,0
226,dataset,20,12,0,0
227,dataset,14,19,0,1
228,dataset,17,19,0,1
229,dataset,18,14,0,0
230,dataset,18,18,0,0
231,dataset,13,10,1,1
232,dataset,19,17,1,0
233,dataset,10,10,0,1
234,dataset,14,12,0,1
235,dataset,12,10,0,1
236,dataset,19,20,0,1
237,dataset,17,15,0,0
238,dataset,10,9,0,1
239,dataset,16,20,0,1
240,dataset,17,20,1,1
241,dataset,14,13,1,1
242,dataset,13,16,0,1
243,dataset,18,13,0,0
244,dataset,18,18,0,0
245,dataset,11,12,0,1
246,dataset,12,17,1,1
247,dataset,20,20,1,0
248,dataset,8,19,0,1
249,dataset,14,19,0,1
250,dataset,16,19,0,1
251,dataset,20,8,0,0
252,dataset,20,17,0,0
253,dataset,9,18,0,1
254,dataset,18,18,0,0
255,dataset,15,20,0,1
256,dataset,13,19,0,1
257,dataset,20,12,0,1
258,dataset,17,19,0,0
259,dataset,21,19,0,1
260,dataset,18,14,0,1
261,dataset,18,18,0,0
262,dataset,19,10,0,1
263,dataset,19,17,0,1
264,dataset,21,10,0,1
265,dataset,21,12,0,1
266,dataset,19,10,0,1
267,dataset,17,15,0,1
268,dataset,16,9,0,1
269,dataset,17,20,1,0
270,dataset,17,13,0,1
271,dataset,20,16,0,1
272,dataset,18,13,1,1
273,dataset,18,18,1,0
274,dataset,12,12,0,1
275,dataset,20,17,0,1
276,dataset,20,20,0,0
277,dataset,14,19,0,0
278,dataset,16,19,0,0
279,dataset,20,8,0,1
280,dataset,20,17,0,1
281,dataset,18,18,0,0
282,dataset,18,18,0,0
283,dataset,20,19,0,1
284,dataset,20,12,0,1
285,dataset,17,19,0,0
286,dataset,21,19,0,1
287,dataset,18,14,0,1
288,dataset,18,18,0,0
289,dataset,19,10,0,1
290,dataset,19,17,0,1
291,dataset,21,10,0,1
292,dataset,21,12,0,1
293,dataset,19,10,0,1
294,dataset,17,15,0,1
295,dataset,16,9,0,1
296,dataset,17,20,1,0
297,dataset,17,13,0,1
298,dataset,20,16,0,1
299,dataset,18,13,1,1
300,dataset,18,18,1,0
301,dataset,12,12,0,1
302,dataset,20,17,0,1
303,dataset,20,20,0,0
304,dataset,14,19,0,0
305,dataset,16,19,0,0
306,dataset,20,8,0,1
307,dataset,20,17,0,1
308,dataset,18,18,0,0
309,dataset,18,18,0,0
310,dataset,20,19,0,1
311,dataset,20,20,0,0
312,dataset,20,12,0,0
313,dataset,14,19,0,1
314,dataset,17,19,0,1
315,dataset,18,14,0,0
316,dataset,18,18,0,0
317,dataset,13,10,1,1
318,dataset,19,17,1,0
319,dataset,10,10,0,1
320,dataset,14,12,0,1
321,dataset,12,10,0,1
322,dataset,19,20,0,1
323,dataset,17,15,0,0
324,dataset,10,9,0,1
325,dataset,16,20,0,1
326,dataset,17,20,1,1
327,dataset,14,13,1,1
328,dataset,13,16,0,1
329,dataset,18,13,0,0
330,dataset,18,18,0,0
331,dataset,11,12,0,1
332,dataset,12,17,1,1
333,dataset,20,20,1,0
334,dataset,8,19,0,1
335,dataset,14,19,0,1
336,dataset,16,19,0,1
337,dataset,20,8,0,0
338,dataset,20,17,0,0
339,dataset,9,18,0,1
340,dataset,18,18,0,0
341,dataset,15,20,0,1
342,dataset,13,19,0,1
343,dataset,20,20,1,0
344,dataset,15,20,0,1
345,dataset,12,14,0,1
346,dataset,20,12,0,0
347,dataset,14,19,0,1
348,dataset,17,19,0,1
349,dataset,18,14,0,0
350,dataset,18,18,0,0
351,dataset,13,10,1,1
352,dataset,19,17,1,0
353,dataset,10,10,0,1
354,dataset,14,12,0,1
355,dataset,12,10,0,1
356,dataset,19,20,0,1
357,dataset,17,15,0,0
358,dataset,10,9,0,1
359,dataset,16,20,0,1
360,dataset,17,20,1,1
361,dataset,14,13,1,1
362,dataset,13,16,0,1
363,dataset,18,13,0,0
364,dataset,18,18,0,0
365,dataset,11,12,0,1
366,dataset,12,17,1,1
367,dataset,20,20,1,0
368,dataset,8,19,0,1
369,dataset,14,19,0,1
370,dataset,16,19,0,1
371,dataset,20,8,0,0
372,dataset,20,17,0,0
373,dataset,9,18,0,1
374,dataset,18,18,0,0
375,dataset,15,20,0,1
376,dataset,13,19,0,1
377,dataset,20,20,1,0
378,dataset,15,20,0,1
379,dataset,12,14,0,1
380,dataset,12,18,0,1
381,dataset,20,20,0,0
382,dataset,13,17,0,1
383,dataset,20,12,0,1
384,dataset,17,19,0,0
385,dataset,21,19,0,1
386,dataset,18,14,0,1
387,dataset,18,18,0,0
388,dataset,19,10,0,1
389,dataset,19,17,0,1
390,dataset,21,10,0,1
391,dataset,21,12,0,1
392,dataset,19,10,0,1
393,dataset,17,15,0,1
394,dataset,16,9,0,1
395,dataset,17,20,1,0
396,dataset,17,13,0,1
397,dataset,20,16,0,1
398,dataset,18,13,1,1
399,dataset,18,18,1,0
400,dataset,12,12,0,1
401,dataset,20,17,0,1
402,dataset,20,20,0,0
403,dataset,14,19,0,0
404,dataset,16,19,0,0
405,dataset,20,8,0,1
406,dataset,20,17,0,1
407,dataset,18,18,0,0
408,dataset,18,18,0,0
409,dataset,20,19,0,1
410,dataset,20,20,0,0
411,dataset,16,14,1,1
412,dataset,20,18,1,1
413,dataset,20,20,1,0
414,dataset,19,17,0,1
415,dataset,13,6,0,1
416,dataset,20,14,0,1
417,dataset,20,12,0,1
418,dataset,17,19,0,0
419,dataset,21,19,0,1
420,dataset,18,14,0,1
421,dataset,18,18,0,0
422,dataset,19,10,0,1
423,dataset,19,17,0,1
424,dataset,21,10,0,1
425,dataset,21,12,0,1
426,dataset,19,10,0,1
427,dataset,17,15,0,1
428,dataset,16,9,0,1
429,dataset,17,20,1,0
430,dataset,17,13,0,1
431,dataset,20,16,0,1
432,dataset,18,13,1,1
433,dataset,18,18,1,0
434,dataset,12,12,0,1
435,dataset,20,17,0,1
436,dataset,20,20,0,0
437,dataset,14,19,0,0
438,dataset,16,19,0,0
439,dataset,20,8,0,1
440,dataset,20,17,0,1
441,dataset,18,18,0,0
442,dataset,18,18,0,0
443,dataset,20,19,0,1
444,dataset,20,20,0,0
445,dataset,16,14,1,1
446,dataset,20,18,1,1
447,dataset,20,20,1,0
448,dataset,19,17,0,1
449,dataset,13,6,0,1
450,dataset,20,14,0,1
451,dataset,20,12,0,1
452,dataset,17,19,0,0
453,dataset,21,19,0,1
454,dataset,18,14,0,1
455,dataset,18,18,0,0
456,dataset,19,10,0,1
457,dataset,19,17,0,1
458,dataset,21,10,0,1
459,dataset,21,12,0,1
460,dataset,19,10,0,1
461,dataset,17,15,0,1
462,dataset,16,9,0,1
463,dataset,17,20,1,0
464,dataset,17,13,0,1
465,dataset,20,16,0,1
466,dataset,18,13,1,1
467,dataset,18,18,1,0
468,dataset,12,12,0,1
469,dataset,20,17,0,1
470,dataset,20,20,0,0
471,dataset,14,19,0,0
472,dataset,16,19,0,0
473,dataset,20,8,0,1
474,dataset,20,17,0,1
475,dataset,18,18,0,0
476,dataset,18,18,0,0
477,dataset,20,19,0,1
478,dataset,20,20,0,0
479,dataset,16,14,1,1
480,dataset,20,18,1,1
481,dataset,20,20,1,0
482,dataset,19,17,0,1
483,dataset,13,6,0,1
484,dataset,20,14,0,1
485,dataset,16,16,0,0
486,dataset,16,16,0,0
487,dataset,20,12,0,0
488,dataset,14,19,0,1
489,dataset,17,19,0,1
490,dataset,18,14,0,0
491,dataset,18,18,0,0
492,dataset,13,10,1,1
493,dataset,19,17,1,0
494,dataset,10,10,0,1
495,dataset,14,12,0,1
496,dataset,12,10,0,1
497,dataset,19,20,0,1
498,dataset,17,15,0,0
499,dataset,10,9,0,1
500,dataset,16,20,0,1
501,dataset,17,20,1,1
502,dataset,14,13,1,1
503,dataset,13,16,0,1
504,dataset,18,13,0,0
505,dataset,18,18,0,0
506,dataset,11,12,0,1
507,dataset,12,17,1,1
508,dataset,20,20,1,0
509,dataset,8,19,0,1
510,dataset,14,19,0,1
511,dataset,16,19,0,1
512,dataset,20,8,0,0
513,dataset,20,17,0,0
514,dataset,9,18,0,1
515,dataset,18,18,0,0
516,dataset,15,20,0,1
517,dataset,13,19,0,1
518,dataset,20,20,1,0
519,dataset,15,20,0,1
520,dataset,12,14,0,1
521,dataset,12,18,0,1
522,dataset,20,20,0,0
523,dataset,13,17,0,1
524,dataset,12,6,0,1
525,dataset,13,14,1,1
526,dataset,16,20,0,1
527,dataset,13,16,0,1
528,dataset,16,16,0,0
529,dataset,13,12,0,1
530,dataset,20,12,0,1
531,dataset,17,19,0,0
532,dataset,21,19,0,1
533,dataset,18,14,0,1
534,dataset,18,18,0,0
535,dataset,19,10,0,1
536,dataset,19,17,0,1
537,dataset,21,10,0,1
538,dataset,21,12,0,1
539,dataset,19,10,0,1
540,dataset,17,15,0,1
541,dataset,16,9,0,1
542,dataset,17,20,1,0
543,dataset,17,13,0,1
544,dataset,20,16,0,1
545,dataset,18,13,1,1
546,dataset,18,18,1,0
547,dataset,12,12,0,1
548,dataset,20,17,0,1
549,dataset,20,20,0,0
550,dataset,14,19,0,0
551,dataset,16,19,0,0
552,dataset,20,8,0,1
553,dataset,20,17,0,1
554,dataset,18,18,0,0
555,dataset,18,18,0,0
556,dataset,20,19,0,1
557,dataset,20,20,0,0
558,dataset,16,14,1,1
559,dataset,20,18,1,1
560,dataset,20,20,1,0
561,dataset,19,17,0,1
562,dataset,13,6,0,1
563,dataset,20,14,0,1
564,dataset,16,16,0,0
565,dataset,16,16,0,0
566,dataset,20,13,0,1
567,dataset,20,12,0,0
568,dataset,14,19,0,1
569,dataset,17,19,0,1
570,dataset,18,14,0,0
571,dataset,18,18,0,0
572,dataset,13,10,1,1
573,dataset,19,17,1,0
574,dataset,10,10,0,1
575,dataset,14,12,0,1
576,dataset,12,10,0,1
577,dataset,19,20,0,1
578,dataset,17,15,0,0
579,dataset,10,9,0,1
580,dataset,16,20,0,1
581,dataset,17,20,1,1
582,dataset,14,13,1,1
583,dataset,13,16,0,1
584,dataset,18,13,0,0
585,dataset,18,18,0,0
586,dataset,11,12,0,1
587,dataset,12,17,1,1
588,dataset,20,20,1,0
589,dataset,8,19,0,1
590,dataset,14,19,0,1
591,dataset,16,19,0,1
592,dataset,20,8,0,0
593,dataset,20,17,0,0
594,dataset,9,18,0,1
595,dataset,18,18,0,0
596,dataset,15,20,0,1
597,dataset,13,19,0,1
598,dataset,20,20,1,0
599,dataset,15,20,0,1
600,dataset,12,14,0,1
601,dataset,12,18,0,1
602,dataset,20,20,0,0
603,dataset,13,17,0,1
604,dataset,12,6,0,1
605,dataset,13,14,1,1
606,dataset,16,20,0,1
607,dataset,13,16,0,1
608,dataset,16,16,0,0
609,dataset,13,12,0,1
610,dataset,10,13,0,1
611,dataset,14,12,1,1
612,dataset,20,12,0,1
613,dataset,17,19,0,0
614,dataset,21,19,0,1
615,dataset,18,14,0,1
616,dataset,18,18,0,0
617,dataset,19,10,0,1
618,dataset,19,17,0,1
619,dataset,21,10,0,1
620,dataset,21,12,0,1
621,dataset,19,10,0,1
622,dataset,17,15,0,1
623,dataset,16,9,0,1
624,dataset,17,20,1,0
625,dataset,17,13,0,1
626,dataset,20,16,0,1
627,dataset,18,13,1,1
628,dataset,18,18,1,0
629,dataset,12,12,0,1
630,dataset,20,17,0,1
631,dataset,20,20,0,0
632,dataset,14,19,0,0
633,dataset,16,19,0,0
634,dataset,20,8,0,1
635,dataset,20,17,0,1
636,dataset,18,18,0,0
637,dataset,18,18,0,0
638,dataset,20,19,0,1
639,dataset,20,20,0,0
640,dataset,16,14,1,1
641,dataset,20,18,1,1
642,dataset,20,20,1,0
643,dataset,19,17,0,1
644,dataset,13,6,0,1
645,dataset,20,14,0,1
646,dataset,16,16,0,0
647,dataset,16,16,0,0
648,dataset,20,13,0,1
649,dataset,20,12,0,1
650,dataset,17,11,0,1
651,dataset,20,12,0,0
652,dataset,14,19,0,1
653,dataset,17,19,0,1
654,dataset,18,14,0,0
655,dataset,18,18,0,0
656,dataset,13,10,1,1
657,dataset,19,17,1,0
658,dataset,10,10,0,1
659,dataset,14,12,0,1
660,dataset,12,10,0,1
661,dataset,19,20,0,1
662,dataset,17,15,0,0
663,dataset,10,9,0,1
664,dataset,16,20,0,1
665,dataset,17,20,1,1
666,dataset,14,13,1,1
667,dataset,13,16,0,1
668,dataset,18,13,0,0
669,dataset,18,18,0,0
670,dataset,11,12,0,1
671,dataset,12,17,1,1
672,dataset,20,20,1,0
673,dataset,8,19,0,1
674,dataset,14,19,0,1
675,dataset,16,19,0,1
676,dataset,20,8,0,0
677,dataset,20,17,0,0
678,dataset,9,18,0,1
679,dataset,18,18,0,0
680,dataset,15,20,0,1
681,dataset,13,19,0,1
682,dataset,20,20,1,0
683,dataset,15,20,0,1
684,dataset,12,14,0,1
685,dataset,12,18,0,1
686,dataset,20,20,0,0
687,dataset,13,17,0,1
688,dataset,12,6,0,1
689,dataset,13,14,1,1
690,dataset,16,20,0,1
691,dataset,13,16,0,1
692,dataset,16,16,0,0
693,dataset,13,12,0,1
694,dataset,10,13,0,1
695,dataset,14,12,1,1
696,dataset,13,11,0,1
697,dataset,11,10,0,1
698,dataset,20,12,0,0
699,dataset,14,19,0,1
700,dataset,17,19,0,1
701,dataset,18,14,0,0
702,dataset,18,18,0,0
703,dataset,13,10,1,1
704,dataset,19,17,1,0
705,dataset,10,10,0,1
706,dataset,14,12,0,1
707,dataset,12,10,0,1
708,dataset,19,20,0,1
709,dataset,17,15,0,0
710,dataset,10,9,0,1
711,dataset,16,20,0,1
712,dataset,17,20,1,1
713,dataset,14,13,1,1
714,dataset,13,16,0,1
715,dataset,18,13,0,0
716,dataset,18,18,0,0
717,dataset,11,12,0,1
718,dataset,12,17,1,1
719,dataset,20,20,1,0
720,dataset,8,19,0,1
721,dataset,14,19,0,1
722,dataset,16,19,0,1
723,dataset,20,8,0,0
724,dataset,20,17,0,0
725,dataset,9,18,0,1
726,dataset,18,18,0,0
727,dataset,15,20,0,1
728,dataset,13,19,0,1
729,dataset,20,20,1,0
730,dataset,15,20,0,1
731,dataset,12,14,0,1
732,dataset,12,18,0,1
733,dataset,20,20,0,0
734,dataset,13,17,0,1
735,dataset,12,6,0,1
736,dataset,13,14,1,1
737,dataset,16,20,0,1
738,dataset,13,16,0,1
739,dataset,16,16,0,0
740,dataset,13,12,0,1
741,dataset,10,13,0,1
742,dataset,14,12,1,1
743,dataset,13,11,0,1
744,dataset,11,10,0,1
745,dataset,18,18,0,0
746,dataset,17,17,0,0
747,dataset,15,16,1,1
748,dataset,20,12,0,1
749,dataset,17,19,0,0
750,dataset,21,19,0,1
751,dataset,18,14,0,1
752,dataset,18,18,0,0
753,dataset,19,10,0,1
754,dataset,19,17,0,1
755,dataset,21,10,0,1
756,dataset,21,12,0,1
757,dataset,19,10,0,1
758,dataset,17,15,0,1
759,dataset,16,9,0,1
760,dataset,17,20,1,0
761,dataset,17,13,0,1
762,dataset,20,16,0,1
763,dataset,18,13,1,1
764,dataset,18,18,1,0
765,dataset,12,12,0,1
766,dataset,20,17,0,1
767,dataset,20,20,0,0
768,dataset,14,19,0,0
769,dataset,16,19,0,0
770,dataset,20,8,0,1
771,dataset,20,17,0,1
772,dataset,18,18,0,0
773,dataset,18,18,0,0
774,dataset,20,19,0,1
775,dataset,20,20,0,0
776,dataset,16,14,1,1
777,dataset,20,18,1,1
778,dataset,20,20,1,0
779,dataset,19,17,0,1
780,dataset,13,6,0,1
781,dataset,20,14,0,1
782,dataset,16,16,0,0
783,dataset,16,16,0,0
784,dataset,20,13,0,1
785,dataset,20,12,0,1
786,dataset,17,11,0,1
787,dataset,21,10,0,1
788,dataset,18,18,1,0
789,dataset,17,17,0,0
790,dataset,21,16,1,1
791,dataset,16,7,0,1
792,dataset,16,14,0,1
793,dataset,19,20,0,0
794,dataset,20,12,0,1
795,dataset,17,19,0,0
796,dataset,21,19,0,1
797,dataset,18,14,0,1
798,dataset,18,18,0,0
799,dataset,19,10,0,1
800,dataset,19,17,0,1
801,dataset,21,10,0,1
802,dataset,21,12,0,1
803,dataset,19,10,0,1
804,dataset,17,15,0,1
805,dataset,16,9,0,1
806,dataset,17,20,1,0
807,dataset,17,13,0,1
808,dataset,20,16,0,1
809,dataset,18,13,1,1
810,dataset,18,18,1,0
811,dataset,12,12,0,1
812,dataset,20,17,0,1
813,dataset,20,20,0,0
814,dataset,14,19,0,0
815,dataset,16,19,0,0
816,dataset,20,8,0,1
817,dataset,20,17,0,1
818,dataset,18,18,0,0
819,dataset,18,18,0,0
820,dataset,20,19,0,1
821,dataset,20,20,0,0
822,dataset,16,14,1,1
823,dataset,20,18,1,1
824,dataset,20,20,1,0
825,dataset,19,17,0,1
826,dataset,13,6,0,1
827,dataset,20,14,0,1
828,dataset,16,16,0,0
829,dataset,16,16,0,0
830,dataset,20,13,0,1
831,dataset,20,12,0,1
832,dataset,17,11,0,1
833,dataset,21,10,0,1
834,dataset,18,18,1,0
835,dataset,17,17,0,0
836,dataset,21,16,1,1
837,dataset,16,7,0,1
838,dataset,16,14,0,1
839,dataset,19,20,0,0
840,dataset,15,16,0,0
841,dataset,20,12,0,1
842,dataset,17,19,0,0
843,dataset,21,19,0,1
844,dataset,18,14,0,1
845,dataset,18,18,0,0
846,dataset,19,10,0,1
847,dataset,19,17,0,1
848,dataset,21,10,0,1
849,dataset,21,12,0,1
850,dataset,19,10,0,1
851,dataset,17,15,0,1
852,dataset,16,9,0,1
853,dataset,17,20,1,0
854,dataset,17,13,0,1
855,dataset,20,16,0,1
856,dataset,18,13,1,1
857,dataset,18,18,1,0
858,dataset,12,12,0,1
859,dataset,20,17,0,1
860,dataset,20,20,0,0
861,dataset,14,19,0,0
862,dataset,16,19,0,0
863,dataset,20,8,0,1
864,dataset,20,17,0,1
865,dataset,18,18,0,0
866,dataset,18,18,0,0
867,dataset,20,19,0,1
868,dataset,20,20,0,0
869,dataset,16,14,1,1
870,dataset,20,18,1,1
871,dataset,20,20,1,0
872,dataset,19,17,0,1
873,dataset,13,6,0,1
874,dataset,20,14,0,1
875,dataset,16,16,0,0
876,dataset,16,16,0,0
877,dataset,20,13,0,1
878,dataset,20,12,0,1
879,dataset,17,11,0,1
880,dataset,21,10,0,1
881,dataset,18,18,1,0
882,dataset,17,17,0,0
883,dataset,21,16,1,1
884,dataset,16,7,0,1
885,dataset,16,14,0,1
886,dataset,19,20,0,0
887,dataset,15,16,0,0
888,dataset,20,12,0,0
889,dataset,14,19,0,1
890,dataset,17,19,0,1
891,dataset,18,14,0,0
892,dataset,18,18,0,0
893,dataset,13,10,1,1
894,dataset,19,17,1,0
895,dataset,10,10,0,1
896,dataset,14,12,0,1
897,dataset,12,10,0,1
898,dataset,19,20,0,1
899,dataset,17,15,0,0
900,dataset,10,9,0,1
901,dataset,16,20,0,1
902,dataset,17,20,1,1
903,dataset,14,13,1,1
904,dataset,13,16,0,1
905,dataset,18,13,0,0
906,dataset,18,18,0,0
907,dataset,11,12,0,1
908,dataset,12,17,1,1
909,dataset,20,20,1,0
910,dataset,8,19,0,1
911,dataset,14,19,0,1
912,dataset,16,19,0,1
913,dataset,20,8,0,0
914,dataset,20,17,0,0
915,dataset,9,18,0,1
916,dataset,18,18,0,0
917,dataset,15,20,0,1
918,dataset,13,19,0,1
919,dataset,20,20,1,0
920,dataset,15,20,0,1
921,dataset,12,14,0,1
922,dataset,12,18,0,1
923,dataset,20,20,0,0
924,dataset,13,17,0,1
925,dataset,12,6,0,1
926,dataset,13,14,1,1
927,dataset,16,20,0,1
928,dataset,13,16,0,1
929,dataset,16,16,0,0
930,dataset,13,12,0,1
931,dataset,10,13,0,1
932,dataset,14,12,1,1
933,dataset,13,11,0,1
934,dataset,11,10,0,1
935,dataset,18,18,0,0
936,dataset,17,17,0,0
937,dataset,15,16,1,1
938,dataset,16,7,0,0
939,dataset,16,14,0,0
940,dataset,16,20,0,1
941,dataset,19,20,0,1
942,dataset,8,16,0,1
943,dataset,15,16,0,1
944,dataset,13,12,0,1
945,dataset,17,16,0,0
946,dataset,20,12,0,0
947,dataset,14,19,0,1
948,dataset,17,19,0,1
949,dataset,18,14,0,0
950,dataset,18,18,0,0
951,dataset,13,10,1,1
952,dataset,19,17,1,0
953,dataset,10,10,0,1
954,dataset,14,12,0,1
955,dataset,12,10,0,1
956,dataset,19,20,0,1
957,dataset,17,15,0,0
958,dataset,10,9,0,1
959,dataset,16,20,0,1
960,dataset,17,20,1,1
961,dataset,14,13,1,1
962,dataset,13,16,0,1
963,dataset,18,13,0,0
964,dataset,18,18,0,0
965,dataset,11,12,0,1
966,dataset,12,17,1,1
967,dataset,20,20,1,0
968,dataset,8,19,0,1
969,dataset,14,19,0,1
970,dataset,16,19,0,1
971,dataset,20,8,0,0
972,dataset,20,17,0,0
973,dataset,9,18,0,1
974,dataset,18,18,0,0
975,dataset,15,20,0,1
976,dataset,13,19,0,1
977,dataset,20,20,1,0
978,dataset,15,20,0,1
979,dataset,12,14,0,1
980,dataset,12,18,0,1
981,dataset,20,20,0,0
982,dataset,13,17,0,1
983,dataset,12,6,0,1
984,dataset,13,14,1,1
985,dataset,16,20,0,1
986,dataset,13,16,0,1
987,dataset,16,16,0,0
988,dataset,13,12,0,1
989,dataset,10,13,0,1
990,dataset,14,12,1,1
991,dataset,13,11,0,1
992,dataset,11,10,0,1
